district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,SREERAM NAGAR MIGH,domestic,1,1,1.0,308,3.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,SREERAM NAGAR MIGH,general purpose,7,1,1.0,348,7.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,VISWAS NAGAR,domestic,1,3,3.0,1503,19.32
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,ZEBA BAGH A CLASS,domestic,1,2,2.0,1255,10.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,ZEBA BAGH B&D CLASS,domestic,1,3,3.0,710,13.4
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,ZEBA BAGH COMPOUND,domestic,1,1,1.0,306,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,ASIF NAGAR MAIN ROAD,domestic,1,3,3.0,1050,19.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,GRC CT METERS V N COLONY,non-domestic and commercial,2,1,1.0,108,50.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,GRC CT METERS V N COLONY,general purpose,7,1,1.0,738,28.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,GRC HV VIJAY NAGAR CLY,domestic,1,12,12.0,3584,62.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,PADMA COLONY ,domestic,1,1,1.0,472,5.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,PADMA COLONY NALA,domestic,1,5,5.0,1607,30.5
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,SBH NALLAKUNTA,domestic,1,3,3.0,1645,15.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,SBI VIDYA NAGAR,domestic,1,2,2.0,893,16.0
